Muestra,Barrio,Fecha,Hora inicial,Hora final,Observaciones,,,,,,,Dudosos,Bondis (si anotados)
1,Recoleta,3/23/2019,17:25,17:52,Caminando desde Pueyrredón y Peña hasta Santa Fé y Riobamba. Las últimas 4 patentes anotadas fueron a las 18:50,,,,,,,AD231KD (No anotado),
2,Recoleta,3/23/2019,20:00,21:00,Taxi desde Pueyrredón y Peña hasta Córdoba y Pasteur,,,,,,,,
3,Recoleta,3/24/2019,15:18,15:21,Caminando desde Pueyrredón y Peña hasta Pueyrredón y Las Heras (Estación Las Heras subte H),,,,,,,,
4,Parque Patricios/Constitución,3/24/2019,16:28,16:50,Caminando desde Brasil al 1600 hasta Brasil al 2600 (las primeras 2 cuadras en Constitución y las restantes 8 cuadras en Parque Patricios),,,,,,,,
5,Recoleta,3/24/2019,18:27,19:30,"Caminando desde Pueyrredón y Peña hasta la Biblioteca Nacional ida y vuelta. Trayectoria: Pueyrredón, Las Heras, Agüero; Vuelta Agüero, Las Heras, Laprida, Peña",,,,,,,,AD404DA (59)
6,Palermo/Recoleta,3/24/2019,19:51,20:27,"Caminando desde Santa Fe al 5300 hasta Santa Fe al 5000, bondi 152 hasta Santa Fe y Pueyrredón; Caminando desde ahí hasta Pueyrredón y Peña por Pueyrredón",,,,,,,,"AD179KC (12); AD409XG, AD430FB (68); AD116YO (152)"
7,Recoleta,3/24/2019,22:37,23:27,Caminando desde Pueyrredón y Peña hasta Peña y Larrea. Entre 22:40 y 23:20 no anotamos patentes,,,,,,,,
8,Recoleta,3/25/2019,20:11,20:59,Caminando por paralelas a Pueyrredón y en el 118 y etc,,,,,,,,
9,Palermo,3/25/2019,21:00,21:19,Yendo en el 118 a cabildo al 0,,,,,,,,
10,Recoleta,3/26/2019,12:26,13:30,Yendo al dentista por Bulnes y volviendo,,,,,,,,
11,Puerto Madero,3/26/2019,17:49,20:18,Yendo a dar clase particular a Puerto Madero,,,,,,,,
12,Centro,3/26/2019,20:18,20:30,Yendo del puente de Puerto Madero a Catedral de la D,,,,,,,,
13,Recoleta,3/26/2019,21,22,Horarios aprox. También incluye un poco del día siguiente,,,,,,,,
14,Caballito,27/03/2019,17,20:30,Por Primera Junta,,,,,,,,
15,,,,,,,,,,,,,
